Date,Open,High,Low,Close,Volume
12/30/2013,16269.22,16320.22,16182.71,16291.31,0
12/27/2013,16229.43,16232.69,16056.73,16178.94,0
12/26/2013,16087.07,16186.04,16082.28,16174.44,0
12/24/2013,15955.9,16029.65,15849,15889.33,0
12/20/2013,15790.69,15870.42,15755.36,15870.42,0
12/19/2013,15809.43,15891.82,15798.85,15859.22,0
12/18/2013,15273.24,15588.42,15268.18,15587.8,0
12/17/2013,15290.22,15322.13,15248.42,15278.63,0
12/16/2013,15408.35,15408.35,15146.13,15152.91,0
12/13/2013,15316.89,15532.94,15251.45,15403.11,0
12/12/2013,15377.32,15392.66,15255.36,15341.82,0
12/11/2013,15509.93,15562.3,15386.11,15515.06,0
12/10/2013,15633.97,15633.97,15562.06,15611.31,0
12/09/2013,15556.6,15650.21,15547.29,15650.21,0
12/06/2013,15112.54,15327.37,15112.54,15299.86,0
12/05/2013,15354.53,15430.2,15139.12,15177.49,0
12/04/2013,15520.2,15579.36,15326.06,15407.94,0
12/03/2013,15747.54,15794.15,15661.9,15749.66,0
12/02/2013,15659.74,15703.02,15579.54,15655.07,0
11/29/2013,15661.43,15727.96,15507.17,15661.87,0
11/28/2013,15622.19,15729.09,15605.73,15727.12,0
11/27/2013,15414.52,15512.76,15414.52,15449.63,0
11/26/2013,15501.95,15577.97,15460.97,15515.24,0
11/25/2013,15504.78,15619.13,15469.87,15619.13,0
11/22/2013,15513.45,15579.39,15307.44,15381.72,0
11/21/2013,15176.65,15377,15168.47,15365.6,0
11/20/2013,15176.35,15209.67,15069.98,15076.08,0
11/19/2013,15096.63,15163.06,15020.33,15126.56,0
11/18/2013,15253.24,15273.61,15106.82,15164.3,0
11/15/2013,15034.33,15203.11,14994.7,15165.92,0
11/14/2013,14665.75,14966.43,14665.75,14876.41,0
11/13/2013,14527.97,14599.53,14490.92,14567.16,0
11/12/2013,14289.87,14588.68,14278.21,14588.68,0
11/11/2013,14271.48,14304.29,14208.13,14269.84,0
